candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
7,thickness_grids_L5000mm.csv,66,50,147,5.0,1.48,1.526817800999955,0.0468178009999549,34.40672274211541,34.40672274211541,7.721918427053112,1.8009268170592465,1708.5023607490657,1708.5023607490657,153.15674715723398,750.0000000000002,330375.0952763916,2847.5039345817763,True,0.0896438604217584,330.3750952763916,264.3000762211133,-0.1990731829407535,0.1990731829407535,2.0,0.25,pareto,closest
8,thickness_grids_L5000mm.csv,58,47,148,5.0,1.49,1.53160100896356,0.0416010089635602,34.8732492511735,34.8732492511735,7.25453130716578,2.210357115352573,1740.9617941795543,1740.9617941795543,162.14178818301608,750.0000000000002,306489.3055661922,2901.6029902992577,True,0.0931334557283762,306.4893055661922,245.19144445295376,0.21035711535257295,0.21035711535257295,2.0,0.25,pareto,closest
0,thickness_grids_L5000mm.csv,47,43,149,5.0,1.5,1.5351472456195667,0.0351472456195666,35.34291735288517,35.34291735288517,6.645850694451295,3.0014489278914773,1785.3224739422903,1785.3224739422906,176.0231966049457,750.0000000000003,275354.97001380636,2975.537456570484,True,0.0985946231978232,275.35497001380634,220.2839760110451,0.0014489278914773251,0.0014489278914773251,3.0,0.25,pareto,closest
1,thickness_grids_L5000mm.csv,48,44,147,5.0,1.48,1.5167069050943651,0.0367069050943651,34.40672274211541,34.40672274211541,6.837440944370945,2.929695944129618,1771.094006591333,1771.094006591333,172.8143670560695,749.9999999999999,280995.1964553147,2951.8233443188883,True,0.0975749262393304,280.99519645531467,224.79615716425175,-0.0703040558703818,0.0703040558703818,3.0,0.25,pareto,closest
2,thickness_grids_L5000mm.csv,46,43,148,5.0,1.49,1.5251472456195667,0.0351472456195666,34.8732492511735,34.8732492511735,6.668114913245501,3.0966176217882677,1783.6561546763005,1783.6561546763007,176.300289282585,750.0,274227.07862269005,2972.7602577938346,True,0.0988420827749618,274.22707862269004,219.38166289815203,0.09661762178826772,0.09661762178826772,3.0,0.25,pareto,closest
3,thickness_grids_L5000mm.csv,49,44,148,5.0,1.49,1.5267069050943651,0.0367069050943651,34.8732492511735,34.8732492511735,6.814457884571161,2.8390604239481068,1772.787712281923,1772.787712281923,172.53799584781692,749.9999999999999,282148.35932738293,2954.646187136538,True,0.0973258076262988,282.14835932738293,225.7186874619063,-0.16093957605189324,0.16093957605189324,3.0,0.25,pareto,closest
4,thickness_grids_L5000mm.csv,45,43,147,5.0,1.48,1.5151472456195667,0.0351472456195666,34.40672274211541,34.40672274211541,6.690604403443972,3.195475520896911,1781.9764339078586,1781.9764339078586,176.5827620195513,750.0,273101.7292333147,2969.9607231797645,True,0.0990937695131617,273.1017292333147,218.48138338665177,0.195475520896911,0.195475520896911,3.0,0.25,pareto,closest
5,thickness_grids_L5000mm.csv,50,44,149,5.0,1.5,1.5367069050943651,0.0367069050943651,35.34291735288517,35.34291735288517,6.791705040134628,2.7518072640680793,1774.4679552589662,1774.4679552589662,172.26688858196437,750.0,283304.1402337418,2957.446592098277,True,0.097080867575782,283.3041402337418,226.64331218699343,-0.2481927359319207,0.2481927359319207,3.0,0.25,pareto,closest
0,thickness_grids_L5000mm.csv,38,40,149,5.0,1.5,1.5306833926399712,0.0306833926399711,35.34291735288517,35.34291735288517,6.2094998479730945,3.9382818643511217,1818.6838464466791,1818.6838464466791,188.31799399165757,750.0,252085.103876588,3031.1397440777987,True,0.1035463059506416,252.085103876588,201.6680831012704,-0.06171813564887829,0.06171813564887829,4.0,0.25,pareto,closest
1,thickness_grids_L5000mm.csv,37,40,148,5.0,1.49,1.5206833926399712,0.0306833926399711,34.8732492511735,34.8732492511735,6.230302250791639,4.0631552672415685,1817.0623559987755,1817.0623559987755,188.614667836924,750.0000000000002,251039.88254656736,3028.4372599979597,True,0.1038019786245855,251.03988254656736,200.83190603725387,0.0631552672415685,0.0631552672415685,4.0,0.25,pareto,closest
2,thickness_grids_L5000mm.csv,39,41,147,5.0,1.48,1.5121354893923695,0.0321354893923697,34.40672274211541,34.40672274211541,6.397527522661294,3.822506665273504,1804.1418289246035,1804.1418289246035,184.6231312136342,750.0000000000001,257602.59683466275,3006.903048207673,True,0.1023329364985028,257.60259683466273,206.0820774677302,-0.17749333472649598,0.17749333472649598,4.0,0.25,pareto,closest
3,thickness_grids_L5000mm.csv,36,40,147,5.0,1.48,1.5106833926399712,0.0306833926399711,34.40672274211541,34.40672274211541,6.251315134226559,4.1928693755142525,1815.427673638109,1815.4276736381091,188.9171016230037,749.9999999999999,249996.9820292632,3025.7127893968486,True,0.1040620369328262,249.9969820292632,199.99758562341057,0.19286937551425254,0.19286937551425254,4.0,0.25,pareto,closest
